#1,Computerbestandteile herstellen,HE01
#2,Elektronische Geräte reparieren,HA01
#3,Videomaterial schneiden,GE01
#4,Ein Kommunikationssystem entwickeln und programmieren,SE01
#5,Anderen Personen Funktionen am Endgerät erklären,KA01
#6,Ein Entwickler:innenteam leiten,PM01
#7,Geräte in Betrieb nehmen,HE02
#8,Die Funktionalität von Geräten oder Systemen überprüfen,HA02
#9,Ideen für neue Videospiele finden,GE02
#10,Eine Software testen,SE02
#11,Produkte auf die Bedürfnisse anderer Personen abstimmen,KA02
#12,Projektabläufe verbessern,PM02
#13,Technische Bestandteile zusammenbauen,HE03
#14,Rechnernetze aufbauen,HA03
#15,Spielwelten entwickeln,GE03
#16,Programmiersprache nutzen,SE03
#17,Systeme gemeinsam mit den Kund:innen installieren,KA03
#18,IT-Projekte leiten,PM03
#19,Technische Produkte entwickeln,HE04
#20,Rechnernetze überprüfen,HA04
#21,Ideen für neue Werbemaßnahmen finden,GE04
#22,Geduldig Fehler in Programmcodes suchen,SE04
#23,Für andere Personen passende Produkte auswählen,KA04
#24,Zwischen Geschäftsführung und Entwickler:innen vermitteln,PM04
#25,Mikrochips herstellen,HE05
#26,Hardware installieren,HA05
#27,Eine App designen,GE05
#28,Aus einer Idee eine App technisch umsetzen,SE05
#29,Produkte und Anwendungen verkaufen,KA05
#30,Zeitplan zur Entwicklung eines IT-Produktes aufbauen,PM05
#31,Einen Computer zusammenbauen,HE06
#32,Betriebssysteme einrichten,HA06
#33,Zeichnungen am Computer anfertigen,GE06
#34,Videospiele entwickeln,SE06
#35,Projektkosten berechnen,KA06
#36,Komplexe IT-Themen vereinfacht darstellen,PM06
#37,Fertigungsanlagen bauen,HE07
#38,Betriebssysteme überwachen,HA07
#39,Ein Gebäude am PC entwerfen,GE07
#40,Technische Anwendungen programmieren,SE07
#41,Online-Marketing-Kampagnen steuern,KA07
#42,Kund:innenwünsche bei Programmierungsarbeiten erfassen,PM07
#43,IT-Systeme für Fabriken entwickeln,HE08
#44,Systeme konfigurieren und anpassen,HA08
#45,Die Benutzeroberfläche von Programmen gestalten,GE08
#46,Webanwendungen entwickeln,SE08
#47,Einen Online-Shop führen,KA08
#48,Den aktuellen Entwicklungsstand an die Geschäftsführung kommunizieren,PM08
#49,Ein Smartphone entwickeln,HE09
#50,Die Sicherheit eines Netzwerkes gewährleisten,HA09
#51,Nutzerfreundliche Bedienkonzepte entwickeln,GE09
#52,Kundenspezifische Software entwickeln,SE09
#53,IT-Konzepte präsentieren,KA09
#54,Meetings mit anderen Projektpartner:innen einberufen,PM09
#55,"Elektronische Geräte entwickeln, damit sie leicht bedienbar sind",HE10
#56,Eine Software installieren und einrichten,HA10
#57,Das Design einer Webseite anpassen,GE10
#58,Verschiedene Programmiersprachen erlernen,SE10
#59,Angebote für IT-Netzwerke erstellen,KA10
#60,Schlüsse für die nächsten Entwicklungsschritte ziehen,PM10
#61,Computersysteme entwickeln,HE11
#62,IT-Infrastrukturen leiten und überwachen,HA11
#63,3D-Anwendungen nutzen,GE11
#64,Software mit Nutzer:innen testen,SE11
#65,Technischen Support anbieten,KA11
#66,Die Verantwortung für einen Entwicklungsprozess übernehmen,PM11
